domain	utterance	seqlogical
weather	How hot is it going to get today?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it going to get [SL:DATE_TIME today ] ? ]
weather	Temperature tonight for Beijing celsius	[IN:GET_WEATHER Temperature [SL:DATE_TIME tonight ] for [SL:LOCATION Beijing ] [SL:WEATHER_TEMPERATURE_UNIT celsius ] ]
weather	should I wear a coat	[IN:GET_WEATHER should I wear a [SL:WEATHER_ATTRIBUTE coat ] ]
weather	Will I need an umbrella tomorrow	[IN:GET_WEATHER Will I need an [SL:WEATHER_ATTRIBUTE umbrella ] [SL:DATE_TIME tomorrow ] ]
weather	What is this weekend's forecast?	[IN:GET_WEATHER What is [SL:DATE_TIME this weekend ] 's forecast ? ]
weather	Will it be cold today?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE cold ] [SL:DATE_TIME today ] ? ]
weather	Tell me what the weather will be like at the weekend	[IN:GET_WEATHER Tell me what the weather will be like [SL:DATE_TIME at the weekend ] ]
weather	How warm is it tomorrow near Dehli in degrees celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tomorrow ] near [SL:LOCATION Dehli ] in degrees [SL:WEATHER_TEMPERATURE_UNIT celsius ] ]
weather	Will I need an umbrella today?	[IN:GET_WEATHER Will I need an [SL:WEATHER_ATTRIBUTE umbrella ] [SL:DATE_TIME today ] ? ]
weather	Tell me the weather for midday	[IN:GET_WEATHER Tell me the weather [SL:DATE_TIME for midday ] ]
weather	What will the weather be like this afternoon?	[IN:GET_WEATHER What will the weather be like [SL:DATE_TIME this afternoon ] ? ]
weather	Is it raining?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE raining ] ? ]
weather	Show me how is the weather?	[IN:GET_WEATHER Show me how is the weather ? ]
weather	3 day forecast	[IN:GET_WEATHER [SL:DATE_TIME 3 day ] forecast ]
weather	What is the weather today	[IN:GET_WEATHER What is the weather [SL:DATE_TIME today ] ]
weather	Weather for Saturday night?	[IN:GET_WEATHER Weather [SL:DATE_TIME for Saturday night ] ? ]
weather	What kind of weather should I expect on Victoria Day?	[IN:GET_WEATHER What kind of weather should I expect [SL:DATE_TIME on Victoria Day ] ? ]
weather	Is there a flood warning for highway 55	[IN:GET_WEATHER Is there a flood warning for [SL:LOCATION highway 55 ] ]
weather	Give me the weather for Friday	[IN:GET_WEATHER Give me the weather [SL:DATE_TIME for Friday ] ]
weather	tell me the weekend weather report	[IN:GET_WEATHER tell me the [SL:DATE_TIME weekend ] weather report ]
weather	What is the low temperature today	[IN:GET_WEATHER What is the low temperature [SL:DATE_TIME today ] ]
weather	Is there such a thing as thunder snow	[IN:UNSUPPORTED_WEATHER Is there such a thing as [SL:WEATHER_ATTRIBUTE thunder snow ] ]
weather	Hey how cold will it be in Russia today?	[IN:GET_WEATHER Hey how cold will it be in [SL:LOCATION Russia ] [SL:DATE_TIME today ] ? ]
weather	please tell me the weather in louisiana for the 6th of may	[IN:GET_WEATHER please tell me the weather in [SL:LOCATION louisiana ] [SL:DATE_TIME for the 6th of may ] ]
weather	Tell me the weather forecast for May 16th.	[IN:GET_WEATHER Tell me the weather forecast [SL:DATE_TIME for May 16th ] . ]
weather	What's the weather going to be like on Sunday?	[IN:GET_WEATHER What 's the weather going to be like [SL:DATE_TIME on Sunday ] ? ]
weather	What is the temperature in Celsius?	[IN:GET_WEATHER What is the temperature in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	what time will the storms roll in	[IN:GET_WEATHER what time will the [SL:WEATHER_ATTRIBUTE storms ] roll in ]
weather	Will the Orioles game be rained out tonight?	[IN:GET_WEATHER Will the Orioles game be [SL:WEATHER_ATTRIBUTE rained ] [SL:LOCATION out ] [SL:DATE_TIME tonight ] ? ]
weather	What is the weather like in Ohio?	[IN:GET_WEATHER What is the weather like in [SL:LOCATION Ohio ] ? ]
weather	Is it t-shirt weather this afternoon?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE t - shirt ] weather [SL:DATE_TIME this afternoon ] ? ]
weather	Do I need to wear a raincoat tonight?	[IN:GET_WEATHER Do I need to wear a [SL:WEATHER_ATTRIBUTE raincoat ] [SL:DATE_TIME tonight ] ? ]
weather	ANy tornado warnings in my area	[IN:UNSUPPORTED_WEATHER ANy tornado warnings in [SL:LOCATION my area ] ]
weather	What percent change is it that the hurricane will hit San Juan, PR?	[IN:GET_WEATHER What percent change is it that the [SL:WEATHER_ATTRIBUTE hurricane ] will hit [SL:LOCATION San Juan , PR ] ? ]
weather	What will the weather be in Hawaii in the next two weeks?	[IN:GET_WEATHER What will the weather be in [SL:LOCATION Hawaii ] [SL:DATE_TIME in the next two weeks ] ? ]
weather	Give me today's forecast for Sydney	[IN:GET_WEATHER Give me today 's forecast for [SL:LOCATION Sydney ] ]
weather	Should I wear rainboots?	[IN:GET_WEATHER Should I wear [SL:WEATHER_ATTRIBUTE rainboots ] ? ]
weather	How cold is it outside?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it outside ? ]
weather	Is there going to be a monsoon this weekend	[IN:GET_WEATHER Is there going to be a [SL:WEATHER_ATTRIBUTE monsoon ] [SL:DATE_TIME this weekend ] ]
weather	Forecast please for California in August	[IN:GET_WEATHER Forecast please for [SL:LOCATION California ] [SL:DATE_TIME in August ] ]
weather	How many inches of snow fell in Philadelphia?	[IN:GET_WEATHER How many inches of [SL:WEATHER_ATTRIBUTE snow ] fell in [SL:LOCATION Philadelphia ] ? ]
weather	When will it snow this year	[IN:UNSUPPORTED_WEATHER When will it [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME this year ] ]
weather	Will it be hot tomorrow?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE hot ] [SL:DATE_TIME tomorrow ] ? ]
weather	How much snow is predicted ?	[IN:GET_WEATHER How much [SL:WEATHER_ATTRIBUTE snow ] is predicted ? ]
weather	Is it hurricane season	[IN:UNSUPPORTED_WEATHER Is it [SL:WEATHER_ATTRIBUTE hurricane ] season ]
weather	What amount of rain is expected in cm?	[IN:UNSUPPORTED_WEATHER What amount of [SL:WEATHER_ATTRIBUTE rain ] is expected in cm ? ]
weather	what is the weather for this sunday in Melbourne, Australia?	[IN:GET_WEATHER what is the weather [SL:DATE_TIME for this sunday ] in [SL:LOCATION Melbourne , Australia ] ? ]
weather	Will it rain all day tomorrow in New York?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME all day tomorrow ] in [SL:LOCATION New York ] ? ]
weather	Do I need to wear sunscreen outside today	[IN:GET_WEATHER Do I need to wear [SL:WEATHER_ATTRIBUTE sunscreen ] outside [SL:DATE_TIME today ] ]
weather	How's the weather in Sweden?	[IN:GET_WEATHER How 's the weather in [SL:LOCATION Sweden ] ? ]
weather	How much snow?	[IN:GET_WEATHER How much [SL:WEATHER_ATTRIBUTE snow ] ? ]
weather	Let me see the weather forecast for Colorado this weekend	[IN:GET_WEATHER Let me see the weather forecast for [SL:LOCATION Colorado ] [SL:DATE_TIME this weekend ] ]
weather	Is it around 40 degree f in Dublin tomorrow	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 40 ] degree [SL:WEATHER_TEMPERATURE_UNIT f ] in [SL:LOCATION Dublin ] [SL:DATE_TIME tomorrow ] ]
weather	whats the weather in south haven	[IN:GET_WEATHER whats the weather in [SL:LOCATION south haven ] ]
weather	What is the weather doing in Melbourne Victoria	[IN:GET_WEATHER What is the weather doing in [SL:LOCATION Melbourne Victoria ] ]
weather	Is it going to rain the entire day in Miami?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE rain ] the entire day in [SL:LOCATION Miami ] ? ]
weather	Temperature san francisco tomorrow morning c	[IN:GET_WEATHER Temperature [SL:LOCATION san francisco ] [SL:DATE_TIME tomorrow morning ] [SL:WEATHER_TEMPERATURE_UNIT c ] ]
weather	What is the weather like in Dallas, Texas today?	[IN:GET_WEATHER What is the weather like in [SL:LOCATION Dallas , Texas ] [SL:DATE_TIME today ] ? ]
weather	What time does the sun rise	[IN:GET_SUNRISE What time does the sun rise ]
weather	What is the lowest temperature in Alaska?	[IN:GET_WEATHER What is the lowest temperature in [SL:LOCATION Alaska ] ? ]
weather	Show me the Australian forecast	[IN:GET_WEATHER Show me the [SL:LOCATION Australian ] forecast ]
weather	Will it be around 66 degree celcius manila next week	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 66 ] degree [SL:WEATHER_TEMPERATURE_UNIT celcius ] [SL:LOCATION manila ] [SL:DATE_TIME next week ] ]
