domain	utterance	seqlogical
reminder	Do I have any reminders for Saturday?	[IN:GET_REMINDER Do [SL:PERSON_REMINDED I ] have any reminders [SL:DATE_TIME for Saturday ] ? ]
reminder	please remove all game night reminders for January	[IN:DELETE_REMINDER please remove [SL:AMOUNT all ] [SL:TODO game night ] reminders [SL:DATE_TIME for January ] ]
reminder	set reminder to pick up eggs tonight	[IN:CREATE_REMINDER set reminder to [SL:TODO pick up eggs ] [SL:DATE_TIME tonight ] ]
reminder	Remind me to feed my dog at 5	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO feed my dog ] [SL:DATE_TIME at 5 ] ]
reminder	Please remind my golf group about next tournament	[IN:CREATE_REMINDER Please remind my [SL:PERSON_REMINDED golf ] group about [SL:TODO next tournament ] ]
reminder	Remind me to email the HOA about the fencing company coming to do an estimate next Tuesday at 10 AM.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE email [SL:RECIPIENT the HOA ] about [SL:CONTENT_EXACT the fencing company coming to do an estimate ] ] ] [SL:DATE_TIME next Tuesday at 10 AM ] . ]
reminder	Remind me to wake up tomorrow at 9am	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO wake up ] [SL:DATE_TIME tomorrow at 9 am ] ]
reminder	Cancel all of today's reminders.	[IN:DELETE_REMINDER Cancel [SL:AMOUNT all ] [SL:DATE_TIME of today ] 's reminders . ]
reminder	I've got a gala to attend this Saturday night; can you remind me on Saturday at 12 pm?	[IN:CREATE_REMINDER I've got [SL:TODO [IN:GET_TODO [SL:TODO a gala to attend ] [SL:DATE_TIME this Saturday night ] ] ] ; can you remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME on Saturday at 12 pm ] ? ]
reminder	remind me to pick up pizza	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up pizza ] ]
reminder	move my reminder for getting flowers for Lisa to Friday	[IN:UPDATE_REMINDER_DATE_TIME move [SL:PERSON_REMINDED my ] reminder for [SL:TODO getting flowers for Lisa ] [SL:DATE_TIME_NEW to Friday ] ]
reminder	Remind me to wash the car on Saturday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO wash the car ] [SL:DATE_TIME on Saturday ] ]
reminder	Add the time 9pm to my Sunday reminder	[IN:UPDATE_REMINDER_DATE_TIME Add the time [SL:DATE_TIME_NEW 9 pm ] to [SL:PERSON_REMINDED my ] [SL:DATE_TIME Sunday ] reminder ]
reminder	Set a reminder to bake cookies for the birthday party Saturday.	[IN:CREATE_REMINDER Set a reminder to [SL:TODO bake cookies for the birthday party ] [SL:DATE_TIME Saturday ] . ]
