i want to fly from baltimore to dallas round trip	i want to fly from baltimore to dallas round trip	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] [SL:ROUND_TRIP round trip ] ]
round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	[IN:AIRFARE [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1000 dollars ] [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1000 dollars ] [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1000 dollars ] ]
show me the flights arriving on baltimore on june fourteenth	show me the flights arriving on baltimore on june fourteenth	[IN:FLIGHT show me the flights arriving on [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] on [SL:ARRIVE_DATE [SL:MONTH_NAME june ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER fourteenth ] ] ]
what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm	what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm	[IN:FLIGHT what are the flights which depart from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] fly to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] via [SL:STOP_LOCATION [SL:CITY_NAME indianapolis ] ] and arrive [SL:ARRIVE_TIME [SL:TIME_RELATIVE by ] ] [SL:ARRIVE_TIME [SL:TIME 9 pm ] ] ]
which airlines fly from boston to washington dc via other cities	which airlines fly from boston to washington dc via other cities	[IN:AIRLINE which airlines fly from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] via other cities ]
"i""m looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out"	"i""m looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out"	[IN:FLIGHT i'm looking for a flight from [SL:FROM_LOCATION [SL:CITY_NAME charlotte ] ] to [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] that stops in [SL:STOP_LOCATION [SL:CITY_NAME st. louis ] ] hopefully a [SL:MEAL_DESCRIPTION dinner ] flight how can i find that out ]
"okay and then from pittsburgh i""d like to travel to atlanta on september fourth"	"okay and then from pittsburgh i""d like to travel to atlanta on september fourth"	[IN:FLIGHT okay and then from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] i'd like to travel to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on [SL:DEPART_DATE [SL:MONTH_NAME september ] ] [SL:DEPART_DATE [SL:DAY_NUMBER fourth ] ] ]
show me all the flights from philadelphia to cincinnati	show me all the flights from philadelphia to cincinnati	[IN:FLIGHT show me all the flights from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME cincinnati ] ] ]
"okay i""d like a flight on us air from indianapolis to san diego in the afternoon what""s available"	"okay i""d like a flight on us air from indianapolis to san diego in the afternoon what""s available"	[IN:FLIGHT okay i'd like a flight on [SL:AIRLINE_NAME us air ] from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME san diego ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] what's available ]
on tuesday what flights leave phoenix to st. paul minnesota and leave after noon	on tuesday what flights leave phoenix to st. paul minnesota and leave after noon	[IN:FLIGHT on [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] what flights leave [SL:FROM_LOCATION [SL:CITY_NAME phoenix ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. paul ] ] [SL:TO_LOCATION [SL:STATE_NAME minnesota ] ] and leave [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME noon ] ] ]
american flights from chicago to los angeles morning	american flights from chicago to los angeles morning	[IN:FLIGHT [SL:AIRLINE_NAME american ] flights from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME los angeles ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
what types of ground transportation are there to san francisco airport	what types of ground transportation are there to san francisco airport	[IN:GROUND_SERVICE what types of ground transportation are there to [SL:TO_LOCATION [SL:AIRPORT_NAME san francisco airport ] ] ]
in the next two days i want to fly from nashville to san jose or to tacoma	in the next two days i want to fly from nashville to san jose or to tacoma	[IN:FLIGHT in the [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] two days i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME nashville ] ] to [SL:TO_LOCATION [SL:CITY_NAME san jose ] ] [SL:OR or ] to [SL:TO_LOCATION [SL:CITY_NAME tacoma ] ] ]
does continental airlines fly from denver to san francisco	does continental airlines fly from denver to san francisco	[IN:FLIGHT does [SL:AIRLINE_NAME continental airlines ] fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
chicago to milwaukee	chicago to milwaukee	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] ]
how many flights does twa have in business class	how many flights does twa have in business class	[IN:QUANTITY how many flights does [SL:AIRLINE_CODE twa ] have in [SL:CLASS_TYPE business class ] ]
show me the flights from dallas to baltimore in first class	show me the flights from dallas to baltimore in first class	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] in [SL:CLASS_TYPE first class ] ]
"i""d like to find the least expensive one way fare from boston to philadelphia"	"i""d like to find the least expensive one way fare from boston to philadelphia"	[IN:AIRFARE i'd like to find the [SL:COST_RELATIVE least expensive ] [SL:ROUND_TRIP one way ] fare from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
how many booking classes are there	how many booking classes are there	[IN:QUANTITY how many booking classes are there ]
what are the flights from tacoma to san jose on wednesday the nineteenth	what are the flights from tacoma to san jose on wednesday the nineteenth	[IN:FLIGHT what are the flights from [SL:FROM_LOCATION [SL:CITY_NAME tacoma ] ] to [SL:TO_LOCATION [SL:CITY_NAME san jose ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] the [SL:DEPART_DATE [SL:DAY_NUMBER nineteenth ] ] ]
what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	[IN:FLIGHT what flights leave [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER fifth ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 7 pm ] ] and arrive in [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
please list all the arriving and departing flights from general mitchell international	please list all the arriving and departing flights from general mitchell international	[IN:FLIGHT please list all the arriving and departing flights from [SL:FROM_LOCATION [SL:AIRPORT_NAME general mitchell international ] ] ]
what time zone is denver in	what time zone is denver in	[IN:CITY what time zone is [SL:CITY_NAME denver ] in ]
show me ground transportation in boston and in baltimore	show me ground transportation in boston and in baltimore	[IN:GROUND_SERVICE show me ground transportation in [SL:CITY_NAME boston ] and in [SL:CITY_NAME baltimore ] ]
i want to find the first flight from baltimore to boston that serves a meal	i want to find the first flight from baltimore to boston that serves a meal	[IN:FLIGHT i want to find the [SL:FLIGHT_MOD first ] flight from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] that serves a [SL:MEAL meal ] ]
from seattle to salt lake city	from seattle to salt lake city	[IN:FLIGHT from [SL:FROM_LOCATION [SL:CITY_NAME seattle ] ] to [SL:TO_LOCATION [SL:CITY_NAME salt lake city ] ] ]
can you show me the flights from dallas to baltimore with economy fares	can you show me the flights from dallas to baltimore with economy fares	[IN:FLIGHT can you show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] with [SL:ECONOMY economy ] fares ]
what flights leave from phoenix	what flights leave from phoenix	[IN:FLIGHT what flights leave from [SL:FROM_LOCATION [SL:CITY_NAME phoenix ] ] ]
what are the flights from pittsburgh to denver	what are the flights from pittsburgh to denver	[IN:FLIGHT what are the flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
show flights leaving miami to cleveland on us air that leave after noon	show flights leaving miami to cleveland on us air that leave after noon	[IN:FLIGHT show flights leaving [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] on [SL:AIRLINE_NAME us air ] that leave [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME noon ] ] ]
please give me a list of all the flights between dallas and baltimore and their cost	please give me a list of all the flights between dallas and baltimore and their cost	[IN:FLIGHT [IN:AIRFARE please give me a list of all the flights between [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] and their cost ] ]
what does fare code y mean	what does fare code y mean	[IN:ABBREVIATION what does fare code [SL:FARE_BASIS_CODE y ] mean ]
ground transportation in phoenix	ground transportation in phoenix	[IN:GROUND_SERVICE ground transportation in [SL:CITY_NAME phoenix ] ]
okay could you tell me what flight leaves dallas to san francisco by united airline	okay could you tell me what flight leaves dallas to san francisco by united airline	[IN:FLIGHT okay could you tell me what flight leaves [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] by [SL:AIRLINE_NAME united airline ] ]
show me all flights from denver to san francisco next wednesday which leave after noon	show me all flights from denver to san francisco next wednesday which leave after noon	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] which leave [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME noon ] ] ]
is there a flight from atlanta to san francisco that stops over in denver	is there a flight from atlanta to san francisco that stops over in denver	[IN:FLIGHT is there a flight from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] that stops over in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
